Time,Open,High,Low,Close,Volume
2026-06-17 02:00:00,65770.6,65830.1,65620.4,65667.8,821
2026-06-17 03:00:00,65671.7,65844.0,65671.7,65701.1,1027
2026-06-17 04:00:00,65702.9,65946.2,65475.2,65925.6,1728
2026-06-17 05:00:00,65926.6,66127.1,65776.1,65897.9,1549
2026-06-17 06:00:00,65897.9,65897.9,65702.4,65845.2,1028
2026-06-17 07:00:00,65846.3,66045.6,65785.1,65880.6,813
2026-06-17 08:00:00,65880.6,65974.2,65732.8,65823.9,880
2026-06-17 09:00:00,65823.9,65890.9,65569.6,65614.6,1040
2026-06-17 10:00:00,65614.6,65705.5,65238.5,65539.0,1662
2026-06-17 11:00:00,65539.0,65581.9,64827.65,64918.3,2235
2026-06-17 12:00:00,64916.7,65073.5,64838.8,64907.1,1411
2026-06-17 13:00:00,64909.6,64990.7,64756.4,64788.7,1286
2026-06-17 14:00:00,64788.7,64857.0,64552.0,64801.4,1825
2026-06-17 15:00:00,64801.4,65098.7,64578.6,65030.8,1881
2026-06-17 16:00:00,65030.7,65358.2,64834.9,65263.0,2538
2026-06-17 17:00:00,65260.8,65450.5,64756.4,65091.1,3477
2026-06-17 18:00:00,65093.4,65838.7,64973.6,65738.9,3098
2026-06-17 19:00:00,65737.7,66425.3,65707.0,65851.9,2993
2026-06-17 20:00:00,65857.2,66187.9,65787.8,66090.2,2046
2026-06-17 21:00:00,66097.6,66097.6,64798.7,65500.5,7631
2026-06-17 22:00:00,65504.8,65657.3,64027.8,64280.8,7249
2026-06-17 23:00:00,64286.7,64474.3,64175.6,64420.5,2352
2026-06-18 00:00:00,64423.9,64441.0,64122.4,64243.4,1425
2026-06-18 01:00:00,64244.2,64422.0,63898.4,64286.3,1857
2026-06-18 02:00:00,64287.45,64513.8,64239.1,64493.5,1297
2026-06-18 03:00:00,64494.7,64694.8,64445.6,64453.3,1534
2026-06-18 04:00:00,64456.0,64798.5,64449.1,64536.6,1560
2026-06-18 05:00:00,64537.3,64768.7,64476.0,64672.9,1204
2026-06-18 06:00:00,64670.75,64672.0,64250.1,64273.7,1354
2026-06-18 07:00:00,64274.9,64326.3,63810.6,63864.9,2378
2026-06-18 08:00:00,63870.2,64014.4,63676.3,63982.2,2014
2026-06-18 09:00:00,63979.8,64113.7,63833.4,64070.5,1398
2026-06-18 10:00:00,64071.7,64498.0,64002.1,64492.1,1149
2026-06-18 11:00:00,64494.1,64637.05,64369.4,64392.0,1447
2026-06-18 12:00:00,64392.0,64468.5,64183.8,64193.3,1140
2026-06-18 13:00:00,64193.3,64219.2,63907.7,64069.1,1350
2026-06-18 14:00:00,64070.7,64193.5,63873.6,63958.4,1448
2026-06-18 15:00:00,63960.1,64392.4,63911.6,64362.1,1630
2026-06-18 16:00:00,64362.1,64430.3,63777.3,63968.2,3229
2026-06-18 17:00:00,63971.7,64193.7,63578.5,63803.0,4974
2026-06-18 18:00:00,63799.9,63814.3,62276.0,62351.8,5873
2026-06-18 19:00:00,62351.3,62799.5,62326.8,62671.2,3434
